price_in_rs,os,display_in_inch,rating,no_of_ratings,no_of_reviews,laptop,processor_manufacturer,processor_generation,number_of_cores,ram_in_gb,storage_type,primary_storage_size
62990,windows 11 operating system,15.6,4.5,14.0,1.0,lenovo,intel,11,11,16,ssd,512.0
37500,64 bit windows 11 operating system,15.6,4.4,53.0,3.0,lenovo,intel,11,11,8,hdd ssd,1000.0
49990,windows 11 operating system,15.6,4.4,4733.0,463.0,asus,intel,10,10,8,ssd,512.0
33990,64 bit windows 11 operating system,15.6,4.3,10406.0,1040.0,asus,intel,10,10,8,ssd,512.0
18990,dos operating system,14.0,3.8,18.0,3.0,lenovo,amd,1,1,4,ssd,256.0
86990,mac os operating system,13.3,4.7,8865.0,795.0,apple,apple,1,1,8,ssd,256.0
23990,64 bit windows 11 operating system,14.0,4.1,790.0,95.0,asus,intel,1,1,4,ssd,256.0
36890,64 bit windows 11 operating system,14.0,-1.0,-1.0,-1.0,dell,amd,1,1,8,ssd,256.0
33999,64 bit windows 11 operating system,15.6,4.0,112.0,8.0,lenovo,intel,11,11,8,ssd,512.0
38990,windows 11 operating system,15.6,4.1,3955.0,462.0,redmibook,intel,11,11,8,ssd,512.0
26990,64 bit windows 11 operating system,15.6,4.2,381.0,76.0,acer,amd,1,1,8,ssd,256.0
66990,64 bit windows 11 operating system,14.0,5.0,4.0,0.0,asus,intel,12,12,16,ssd,512.0
37990,64 bit windows 11 operating system,15.6,4.1,257.0,26.0,asus,intel,11,11,8,ssd,512.0
56990,windows 11 operating system,15.6,4.1,137.0,18.0,asus,intel,11,11,16,ssd,512.0
39990,windows 11 operating system,15.6,4.1,143.0,11.0,dell,intel,11,11,8,hdd ssd,1000.0
46990,64 bit windows 10 operating system,14.0,4.4,12584.0,1870.0,realme,intel,11,11,8,ssd,256.0
37990,64 bit windows 11 operating system,14.0,4.2,1779.0,160.0,hp,intel,11,11,8,ssd,256.0
49123,64 bit windows 11 operating system,15.6,4.3,328.0,34.0,hp,amd,1,1,16,ssd,512.0
47990,64 bit windows 11 operating system,15.6,4.4,2239.0,299.0,msi,amd,1,1,8,ssd,512.0
86500,64 bit windows 11 operating system,14.0,4.4,9.0,0.0,asus,intel,12,12,16,ssd,512.0
44990,64 bit windows 11 operating system,15.6,4.2,93.0,17.0,hp,intel,12,12,8,ssd,512.0
52990,64 bit windows 11 operating system,15.6,4.3,68.0,7.0,hp,intel,11,11,8,ssd,512.0
38990,64 bit windows 11 operating system,15.6,4.2,1911.0,208.0,hp,amd,1,1,8,ssd,512.0
33890,64 bit windows 11 operating system,14.0,4.2,870.0,66.0,lenovo,intel,11,11,8,ssd,256.0
33990,windows 11 operating system,14.0,4.4,19.0,0.0,asus,intel,10,10,8,ssd,512.0
26990,64 bit windows 11 operating system,14.0,4.0,754.0,79.0,hp,amd,1,1,8,ssd,256.0
38500,64 bit windows 11 operating system,15.6,4.3,453.0,38.0,lenovo,intel,11,11,8,ssd,512.0
45909,64 bit windows 11 operating system,14.0,4.2,1979.0,202.0,hp,amd,1,1,8,ssd,512.0
49990,64 bit windows 11 operating system,15.6,4.4,1233.0,149.0,asus,amd,1,1,8,hdd ssd,1000.0
40950,64 bit windows 11 operating system,15.6,4.3,388.0,40.0,hp,intel,11,11,8,ssd,512.0
52890,windows 11 operating system,15.6,4.5,14.0,1.0,lenovo,intel,11,11,16,ssd,512.0
99990,64 bit windows 11 operating system,15.6,4.4,127.0,16.0,asus,amd,1,1,16,ssd,512.0
59990,64 bit windows 11 operating system,15.6,4.5,870.0,105.0,asus,amd,1,1,16,ssd,512.0
58018,64 bit windows 11 operating system,15.6,4.2,2011.0,167.0,hp,intel,12,12,8,ssd,512.0
38699,64 bit windows 11 operating system,15.6,4.3,4658.0,449.0,lenovo,intel,11,11,8,ssd,512.0
53990,64 bit windows 11 operating system,14.0,4.2,128.0,21.0,hp,amd,1,1,8,ssd,512.0
64990,64 bit windows 11 operating system,14.0,4.5,325.0,52.0,acer,intel,12,12,8,ssd,512.0
52990,64 bit windows 11 operating system,15.6,4.2,280.0,21.0,lenovo,intel,11,11,8,ssd,512.0
109990,64 bit windows 11 operating system,17.3,4.3,59.0,11.0,asus,intel,12,12,16,ssd,1000.0
68114,64 bit windows 11 operating system,14.0,4.4,301.0,22.0,hp,intel,12,12,16,ssd,512.0
56049,64 bit windows 11 operating system,15.6,4.2,247.0,21.0,lenovo,intel,12,12,8,ssd,512.0
